product_id,status,trading_disabled,first_daily_candle,days_history,median_30d_volume_usd,quote_increment,min_market_funds_usd
T-USD,online,False,2023-01-26,1331,28072.47,0.0000001,1
TAO-USD,online,False,2025-02-20,575,8341215.59,0.01,1
THQ-USD,online,False,2025-12-16,276,17395.87,0.00001,1
TIA-USD,online,False,2023-11-01,1052,971003.85,0.0001,1
TNSR-USD,online,False,2024-04-08,893,37268.87,0.00001,1
TON-USD,online,False,2025-11-18,304,652521.91,0.0001,1
TOSHI-USD,online,False,2025-01-23,603,332559.97,0.00000001,1
TOWNS-USD,online,False,2025-08-05,409,130482.16,0.0000001,1
TRAC-USD,online,False,2021-11-02,1781,434136.51,0.0001,1
TRB-USD,online,False,2021-05-06,1961,158544.26,0.01,1
TREE-USD,online,False,2025-07-29,416,77354.88,0.00001,1
TRIA-USD,online,False,2026-02-03,227,279398.64,0.000001,1
TROLL-USD,online,False,2025-09-25,358,395722.02,0.00001,1
TRUMP-USD,online,False,2025-01-21,605,4670949.71,0.0001,1
TRUST-USD,online,False,2025-11-05,317,73161.56,0.00001,1
TURBO-USD,online,False,2024-12-11,646,103462.8,0.0000001,1
UMA-USD,online,False,2020-09-08,2201,28498.0,0.00001,1
UNI-USD,online,False,2020-09-17,2192,14441905.89,0.0001,1
UP-USD,online,False,2026-02-10,220,44748.53,0.00001,1
USD1-USD,online,False,2025-08-21,393,123510.43,0.0001,1
USDS-USD,online,False,2025-07-10,435,57065.6,0.0001,1
USDT-USD,online,False,2021-05-04,1963,56260135.03,0.00001,1
USELESS-USD,online,False,2025-08-20,394,8137437.79,0.00001,1
VARA-USD,online,False,2023-09-20,1094,29059.18,0.0000001,1
VELO-USD,online,False,2024-02-06,955,161346.66,0.00001,1
VET-USD,online,False,2023-09-13,1101,751018.36,0.000001,1
VIRTUAL-USD,online,False,2026-04-29,142,338559.57,0.0001,1
VOXEL-USD,online,False,2023-02-09,1317,54690.4,0.000001,1
VTHO-USD,online,False,2023-09-13,1101,58424.03,0.00000001,1
VVV-USD,online,False,2025-01-28,598,6405103.62,0.0001,1
W-USD,online,False,2025-07-02,443,92081.79,0.000001,1
WAL-USD,online,False,2026-02-11,219,36613.56,0.00001,1
