iso_year,iso_week,friday_close_utc,sunday_open_utc,friday_close_px,sunday_open_px,gap_log_return_pct
2020,1,2020-01-03T20:00:00+00:00,2020-01-06T00:00:00+00:00,7341.72,7538.65,2.647
2020,2,2020-01-10T20:00:00+00:00,2020-01-13T00:00:00+00:00,8207.09,8108.23,-1.2119
2020,3,2020-01-17T20:00:00+00:00,2020-01-20T00:00:00+00:00,8918.72,8671.56,-2.8104
2020,4,2020-01-24T20:00:00+00:00,2020-01-27T00:00:00+00:00,8441.96,8667.09,2.6319
2020,5,2020-01-31T20:00:00+00:00,2020-02-03T00:00:00+00:00,9364.51,9396.06,0.3363
2020,6,2020-02-07T20:00:00+00:00,2020-02-10T00:00:00+00:00,9821.52,10107.01,2.8653
2020,7,2020-02-14T20:00:00+00:00,2020-02-17T00:00:00+00:00,10356.82,9821.0,-5.3122
2020,8,2020-02-21T20:00:00+00:00,2020-02-24T00:00:00+00:00,9681.39,9759.23,0.8008
2020,9,2020-02-28T20:00:00+00:00,2020-03-02T00:00:00+00:00,8699.57,8608.87,-1.0481
2020,10,2020-03-06T20:00:00+00:00,2020-03-09T00:00:00+00:00,9139.48,8069.87,-12.4466
2020,11,2020-03-13T20:00:00+00:00,2020-03-16T00:00:00+00:00,5570.26,5267.56,-5.5874
2020,12,2020-03-20T20:00:00+00:00,2020-03-23T00:00:00+00:00,6203.77,5950.42,-4.1695
2020,13,2020-03-27T20:00:00+00:00,2020-03-30T00:00:00+00:00,6353.64,6001.46,-5.7025
2020,14,2020-04-03T20:00:00+00:00,2020-04-06T00:00:00+00:00,6729.8,6840.83,1.6364
2020,15,2020-04-10T20:00:00+00:00,2020-04-13T00:00:00+00:00,6857.82,6671.0,-2.762
2020,16,2020-04-17T20:00:00+00:00,2020-04-20T00:00:00+00:00,7022.44,7155.83,1.8817
2020,17,2020-04-24T20:00:00+00:00,2020-04-27T00:00:00+00:00,7504.11,7733.26,3.008
2020,18,2020-05-01T20:00:00+00:00,2020-05-04T00:00:00+00:00,8830.52,8734.2,-1.0968
2020,19,2020-05-08T20:00:00+00:00,2020-05-11T00:00:00+00:00,9807.49,8696.89,-12.0181
2020,20,2020-05-15T20:00:00+00:00,2020-05-18T00:00:00+00:00,9310.73,9858.12,5.7128
2020,21,2020-05-22T20:00:00+00:00,2020-05-25T00:00:00+00:00,9166.4,8779.99,-4.3069
2020,22,2020-05-29T20:00:00+00:00,2020-06-01T00:00:00+00:00,9422.26,9550.82,1.3552
2020,23,2020-06-05T20:00:00+00:00,2020-06-08T00:00:00+00:00,9617.29,9723.44,1.0977
2020,24,2020-06-12T20:00:00+00:00,2020-06-15T00:00:00+00:00,9458.91,9160.68,-3.2037
2020,25,2020-06-19T20:00:00+00:00,2020-06-22T00:00:00+00:00,9307.0,9380.13,0.7827
2020,26,2020-06-26T20:00:00+00:00,2020-06-29T00:00:00+00:00,9159.99,9093.0,-0.734
2020,27,2020-07-03T20:00:00+00:00,2020-07-06T00:00:00+00:00,9057.52,9087.3,0.3282
2020,28,2020-07-10T20:00:00+00:00,2020-07-13T00:00:00+00:00,9288.39,9272.87,-0.1672
2020,29,2020-07-17T20:00:00+00:00,2020-07-20T00:00:00+00:00,9151.69,9194.48,0.4665
2020,30,2020-07-24T20:00:00+00:00,2020-07-27T00:00:00+00:00,9539.7,10277.22,7.4468
2020,31,2020-07-31T20:00:00+00:00,2020-08-03T00:00:00+00:00,11343.68,11146.75,-1.7513
2020,32,2020-08-07T20:00:00+00:00,2020-08-10T00:00:00+00:00,11596.06,12041.82,3.772
2020,33,2020-08-14T20:00:00+00:00,2020-08-17T00:00:00+00:00,11767.89,11856.27,0.7482
2020,34,2020-08-21T20:00:00+00:00,2020-08-24T00:00:00+00:00,11538.53,11687.61,1.2837
2020,35,2020-08-28T20:00:00+00:00,2020-08-31T00:00:00+00:00,11526.85,11681.3,1.331
2020,36,2020-09-04T20:00:00+00:00,2020-09-07T00:00:00+00:00,10448.0,10203.56,-2.3674
2020,37,2020-09-11T20:00:00+00:00,2020-09-14T00:00:00+00:00,10387.81,10344.9,-0.4139
2020,38,2020-09-18T20:00:00+00:00,2020-09-21T00:00:00+00:00,10926.29,10955.0,0.2624
2020,39,2020-09-25T20:00:00+00:00,2020-09-28T00:00:00+00:00,10683.51,10881.81,1.8391
2020,40,2020-10-02T20:00:00+00:00,2020-10-05T00:00:00+00:00,10565.15,10659.44,0.8885
2020,41,2020-10-09T20:00:00+00:00,2020-10-12T00:00:00+00:00,11050.47,11382.48,2.9602
2020,42,2020-10-16T20:00:00+00:00,2020-10-19T00:00:00+00:00,11318.92,11412.59,0.8241
2020,43,2020-10-23T20:00:00+00:00,2020-10-26T00:00:00+00:00,12925.82,13086.21,1.2332
2020,44,2020-10-30T20:00:00+00:00,2020-11-02T00:00:00+00:00,13549.12,13688.53,1.0237
2020,45,2020-11-06T20:00:00+00:00,2020-11-09T00:00:00+00:00,15590.96,15433.37,-1.0159
2020,46,2020-11-13T20:00:00+00:00,2020-11-16T00:00:00+00:00,16320.54,16001.08,-1.9768
2020,47,2020-11-20T20:00:00+00:00,2020-11-23T00:00:00+00:00,18664.31,18390.41,-1.4784
2020,48,2020-11-27T20:00:00+00:00,2020-11-30T00:00:00+00:00,17144.1,18574.47,8.0134
2020,49,2020-12-04T20:00:00+00:00,2020-12-07T00:00:00+00:00,18664.2,19287.31,3.284
2020,50,2020-12-11T20:00:00+00:00,2020-12-14T00:00:00+00:00,18031.47,19262.73,6.6054
2020,51,2020-12-18T20:00:00+00:00,2020-12-21T00:00:00+00:00,23124.35,23962.82,3.5617
2020,52,2020-12-25T20:00:00+00:00,2020-12-28T00:00:00+00:00,24730.0,27287.11,9.8397
2020,53,2021-01-01T20:00:00+00:00,2021-01-04T00:00:00+00:00,29337.16,33562.22,13.4546
2021,1,2021-01-08T20:00:00+00:00,2021-01-11T00:00:00+00:00,40637.23,35473.52,-13.5898
2021,2,2021-01-15T20:00:00+00:00,2021-01-18T00:00:00+00:00,36755.24,35148.25,-4.4706
2021,3,2021-01-22T20:00:00+00:00,2021-01-25T00:00:00+00:00,32986.34,33600.0,1.8433
2021,4,2021-01-29T20:00:00+00:00,2021-02-01T00:00:00+00:00,34269.35,33600.37,-1.9714
2021,5,2021-02-05T20:00:00+00:00,2021-02-08T00:00:00+00:00,38362.65,38120.84,-0.6323
2021,6,2021-02-12T20:00:00+00:00,2021-02-15T00:00:00+00:00,47361.03,47165.18,-0.4144
2021,7,2021-02-19T20:00:00+00:00,2021-02-22T00:00:00+00:00,56004.1,55954.31,-0.0889
2021,8,2021-02-26T20:00:00+00:00,2021-03-01T00:00:00+00:00,46313.13,46351.91,0.0837
2021,9,2021-03-05T20:00:00+00:00,2021-03-08T00:00:00+00:00,48770.57,50625.98,3.7338
2021,10,2021-03-12T20:00:00+00:00,2021-03-15T00:00:00+00:00,57291.03,60488.0,5.4301
2021,11,2021-03-19T20:00:00+00:00,2021-03-22T00:00:00+00:00,58089.11,57614.32,-0.8207
2021,12,2021-03-26T20:00:00+00:00,2021-03-29T00:00:00+00:00,55030.0,55416.04,0.6991
2021,13,2021-04-02T20:00:00+00:00,2021-04-05T00:00:00+00:00,59031.36,57540.01,-2.5588
2021,14,2021-04-09T20:00:00+00:00,2021-04-12T00:00:00+00:00,58176.03,60449.93,3.8342
2021,15,2021-04-16T20:00:00+00:00,2021-04-19T00:00:00+00:00,61424.67,57018.73,-7.4432
2021,16,2021-04-23T20:00:00+00:00,2021-04-26T00:00:00+00:00,51122.62,52420.42,2.5069
2021,17,2021-04-30T20:00:00+00:00,2021-05-03T00:00:00+00:00,57684.16,58004.55,0.5539
2021,18,2021-05-07T20:00:00+00:00,2021-05-10T00:00:00+00:00,57350.88,59428.55,3.5587
2021,19,2021-05-14T20:00:00+00:00,2021-05-17T00:00:00+00:00,49873.27,42990.79,-14.8499
