symbol,total_events,entries,exits,frac_entries_cme_closed,frac_exits_cme_closed,frac_all_events_cme_closed
BTCUSDT,256,128,128,0.1875,0.1953,0.1914
ETHUSDT,288,144,144,0.1736,0.1875,0.1806
