file,sha256,lines
prem_BTCUSDT_4h_2023-06.csv,81b9c9cde095a32baf16275dcc15b0054db73a784aaf0064193fdccf425da41b,181
prem_BTCUSDT_4h_2023-07.csv,405b8f95c8ebdb46019761afbf011cd0c72ae6f6a22430a2b27d0adbf669fb73,187
prem_BTCUSDT_4h_2023-08.csv,2f568b747c4a28744d133bc736034df25ed06a7c5d25c4a00c932092ecb65c71,187
prem_BTCUSDT_4h_2023-09.csv,1d3eae8ea611fd1f68785416bb61afc0e2d8e8702b0f5547f1b116545a526278,181
prem_BTCUSDT_4h_2023-10.csv,4db0834df358ce5ed9cd654ceed7daa4f9b33e19df4a6c2bdebb7c13d269ed36,187
prem_BTCUSDT_4h_2023-11.csv,8d6209fc378ce7ed6f3345cea0e40b5bcc127be9e39ceafdf4977acba485f49e,181
prem_BTCUSDT_4h_2023-12.csv,899b831d80b293c1b5a7d506715430a2cf04abbdd5be91389118712b7f23f3b5,187
prem_BTCUSDT_4h_2024-01.csv,fa9fe86de46c389ae40298a1aa76370333b792d235bac07ee8b9aefcbe184955,187
prem_BTCUSDT_4h_2024-02.csv,5f0fc18ad216545b171647d09747038da2a2d5326e82a27507f604c33ae35f89,175
prem_BTCUSDT_4h_2024-03.csv,700a9a81c0f03ee1b40eb44248b9620ccc33e65844e496549547f7a4cb8a6b9b,187
prem_BTCUSDT_4h_2024-04.csv,ddd6687d8ef30be6cd292c0d1af74367ce975cec71704f2ba24222b32334c3a3,181
prem_BTCUSDT_4h_2024-05.csv,729528cdb0bd2437d66df47fbbd6bc2a446facf062f78069c9c46ebea2fbc1b0,187
prem_BTCUSDT_4h_2024-06.csv,b6b0b80e36ace50d53325263f9cef6f64fc63476e912a0a13ab5d1dbcb96d5e5,181
prem_BTCUSDT_4h_2024-07.csv,f22b5daf8b0ab1d7f2cdc25aeaf188f1f822a8cb901ba56b89b46d9ed881e49f,187
prem_BTCUSDT_4h_2024-08.csv,46763f34484be71907a4284bab3ccd85ab047ca895467457de84c42c2dd08644,187
prem_BTCUSDT_4h_2024-09.csv,61598bd153d4c9ffe02cfa6daab30d9cf193335aebdc5a502ac671931b52e60e,181
prem_BTCUSDT_4h_2024-10.csv,030a91c5cdeeadf23940f901575309664953054bf654aa1ce7a34beec728e5cb,187
prem_BTCUSDT_4h_2024-11.csv,5fd147e7543ac472d1e02761f004bed99a71797923e919acb5dab4d2cb5e5657,181
prem_BTCUSDT_4h_2024-12.csv,e857634b4d0b1edb980dfe7c79f831c5a03e079d8a287f09f4d018dbd5634893,187
prem_BTCUSDT_4h_2025-01.csv,3013337f288afafd066885aa04cd56d15c5ce23cdb923f0ea4fd1f47cc52b5a6,187
prem_BTCUSDT_4h_2025-02.csv,b06c621f8b75f06b4c33e287cfbe1d287a683edf7928fbd00242491fe3bfeb49,169
prem_BTCUSDT_4h_2025-03.csv,7b780176b4cd756ff4529b1b494fdc28231fc1eb6f757caa5714eebdb16b439c,187
prem_BTCUSDT_4h_2025-04.csv,fae5fdfd12846fcfc0761fddb7f4297089a604adecdd763659bfbebb45be255b,181
prem_BTCUSDT_4h_2025-05.csv,89e128136054a6111d591359a3417d22aa01adefd201dfd0cef6b47b327c7877,187
prem_BTCUSDT_4h_2025-06.csv,4f9de466f8f7900e13c241d0194196a675e648f4b51dccaad6efb93411a9578d,181
prem_BTCUSDT_4h_2025-07.csv,f352a599a55986e8ebd2770c941575e039e50a6b5db4acba29078e6d45906734,187
prem_BTCUSDT_4h_2025-08.csv,0cc01e708068b5728686c6bfac4b9219c4d47f591186fcad0245f51f1fe78f21,187
prem_BTCUSDT_4h_2025-09.csv,b1239c7869d29f5d93bc3fd8de9e632d233eb16a5d081ec499b75c93a51b2f87,181
prem_BTCUSDT_4h_2025-10.csv,e2ba61a7f7f3b3e9c4ca98e28deec80cb053e8e85d906e3e9dfeab34a5d512d8,187
prem_BTCUSDT_4h_2025-11.csv,5e256e9ff21e3cd162c2c52a6ff482fd84538e66fe3615f6ca914cf96d3e5409,181
prem_BTCUSDT_4h_2025-12.csv,c26cade7f743c4d77ed7bc017bd9b732c784a2a810b2cb13ef07f04d608699b1,187
prem_BTCUSDT_4h_2026-01.csv,c891552ab8915f9ac8bf6178ef0f97bd8d99fdfcd8f7eb6cd3f1b8b003ecbc75,187
prem_BTCUSDT_4h_2026-02.csv,f4c323e6d13a088d6513ce21c3c38005d5ac93a57c5b53d24757dfac21f9d7b6,169
prem_BTCUSDT_4h_2026-03.csv,213539e369492a768838e3858ad393f102d3d8ba8d7ba608bb0919271779b249,187
prem_BTCUSDT_4h_2026-04.csv,b616c15161c2deec38356a17c760372060d029d6b3279bd12eb54277476bd420,181
prem_BTCUSDT_4h_2026-05.csv,a9524ea172b827f1a9435face0dba5bbc385a6c385b91b47ca1169988d86bd56,187
prem_BTCUSDT_4h_2026-06.csv,cf5beb7f719ffec33ed03a068983ab39e9dd718aee9ededd5be0c4d7f80d266b,175
prem_BTCUSDT_4h_2026-07.csv,a1b0341399284cb6a3cdfe2db52b3c8cdae5454e6bc51835d990cb9b9d142a61,187
prem_BTCUSDT_4h_2026-08.csv,0f73592440e4c13721bb054937d38e850be849bf4ef760ba3305403ede8a90bb,187
prem_BTCUSDT_4h_2026-09-01.csv,b6acfafb390c97af8a4b8eadafe7e4b6f363b4d55908f381b1fda1503bc366ed,7
prem_BTCUSDT_4h_2026-09-02.csv,c0ee07b76e4451e7a76042e14b5fbc477fd393c339ebcc220ec94b645dda340f,7
prem_BTCUSDT_4h_2026-09-03.csv,539422617f72d114e77a52260da33944de2bf71631497eabab92a894066a1e5b,7
prem_BTCUSDT_4h_2026-09-04.csv,1896c225c33a8a24a711659df5f6823da1e16c91bfdf0eb2d8246739a6d3786f,7
prem_BTCUSDT_4h_2026-09-05.csv,d4f7763edbd2b7c66e1b55d3212d1eb7a02b7f53abab87619586709b6ad39ee0,7
