symbol,year,window_days,threshold_of_margin,price_move_required_pct,entry_bars,breach_bars,breach_fraction,episodes
ETHUSDT,2020,3,0.5,16.74,2196,215,0.09791,22
ETHUSDT,2021,3,0.5,16.74,2190,230,0.10502,28
ETHUSDT,2022,3,0.5,16.74,2190,86,0.03927,13
ETHUSDT,2023,3,0.5,16.74,2190,27,0.01233,3
ETHUSDT,2024,3,0.5,16.74,2196,37,0.01685,4
ETHUSDT,2025,3,0.5,16.74,2190,55,0.02511,10
ETHUSDT,2026,3,0.5,16.74,1559,22,0.01411,3
ETHUSDT,full_window,3,0.5,16.74,14711,672,0.04568,83
ETHUSDT,2020,3,0.75,25.11,2196,47,0.0214,6
ETHUSDT,2021,3,0.75,25.11,2190,43,0.01963,8
ETHUSDT,2022,3,0.75,25.11,2190,19,0.00868,3
ETHUSDT,2023,3,0.75,25.11,2190,0,0.0,0
ETHUSDT,2024,3,0.75,25.11,2196,5,0.00228,1
ETHUSDT,2025,3,0.75,25.11,2190,15,0.00685,1
ETHUSDT,2026,3,0.75,25.11,1559,9,0.00577,1
ETHUSDT,full_window,3,0.75,25.11,14711,138,0.00938,20
ETHUSDT,2020,3,1.0,33.48,2196,21,0.00956,3
ETHUSDT,2021,3,1.0,33.48,2190,21,0.00959,1
ETHUSDT,2022,3,1.0,33.48,2190,4,0.00183,1
ETHUSDT,2023,3,1.0,33.48,2190,0,0.0,0
ETHUSDT,2024,3,1.0,33.48,2196,0,0.0,0
ETHUSDT,2025,3,1.0,33.48,2190,12,0.00548,1
ETHUSDT,2026,3,1.0,33.48,1559,0,0.0,0
ETHUSDT,full_window,3,1.0,33.48,14711,58,0.00394,6
ETHUSDT,2020,7,0.5,16.74,2196,679,0.3092,27
ETHUSDT,2021,7,0.5,16.74,2190,625,0.28539,25
ETHUSDT,2022,7,0.5,16.74,2190,262,0.11963,15
ETHUSDT,2023,7,0.5,16.74,2190,91,0.04155,6
ETHUSDT,2024,7,0.5,16.74,2196,189,0.08607,10
ETHUSDT,2025,7,0.5,16.74,2190,196,0.0895,12
ETHUSDT,2026,7,0.5,16.74,1559,59,0.03784,5
ETHUSDT,full_window,7,0.5,16.74,14711,2101,0.14282,100
ETHUSDT,2020,7,0.75,25.11,2196,305,0.13889,17
ETHUSDT,2021,7,0.75,25.11,2190,263,0.12009,16
ETHUSDT,2022,7,0.75,25.11,2190,57,0.02603,6
ETHUSDT,2023,7,0.75,25.11,2190,28,0.01279,2
ETHUSDT,2024,7,0.75,25.11,2196,66,0.03005,2
ETHUSDT,2025,7,0.75,25.11,2190,74,0.03379,3
